obs_id,frontier,efficiency,scale_bin,input_slack_Feed,input_slack_Water_consumption,input_slack_Energy_consumption,input_slack_Labor,bad_slack_Waste_water,bad_slack_Manure,bad_slack_Dead_pig,bad_slack_Carbon_emission,bad_slack_Eutrophication_potential,good_output_slack
26,E,0.9999999999994377,5-10k,0,0,0,0,0,0,0,0,0,0
27,E,0.9999999999999565,5-10k,0,0,0,0,0,0,0,0,0,0
28,E,1,5-10k,0,0,0,0,0,0,0,0,0,0
29,E,0.7815653802083206,5-10k,0,0.4625967718909625,1.2358027700656193,0,0,0,0.21306869356234318,0.010840281749276792,0,0
30,E,0.9999999999995348,5-10k,0,0,0,0,0,0,0,0,0,0
31,E,0.999999999999535,5-10k,0,0,0,0,0,0,0,0,0,0
32,E,1,5-10k,0,0,0,0,0,0,0,0,0,0
33,E,1,10-20k,0,0,0,0,0,0,0,0,0,0
34,E,1,10-20k,0,0,0,0,0,0,0,0,0,0
35,E,1,10-20k,0,0,0,0,0,0,0,0,0,0
36,E,1,10-20k,0,0,0,0,0,0,0,0,0,0
37,E,1,10-20k,0,0,0,0,0,0,0,0,0,0
38,E,0.4175652055643285,10-20k,0.18546143333068435,1.2953150590306222,0.4940683857545607,0.7583433090444311,0.5916044571189066,0.014408918000616429,0.7480343713484704,0,0,0
39,E,0.7412869805427771,10-20k,0,0.371290004991851,0.9715731294413495,0,0,0,0.20781824166901913,0.003927929391624745,0,0
40,E,0.999999999998562,10-20k,0,0,0,0,0,0,1.174828025261887e-11,0,0,0
41,E,1,10-20k,0,0,0,0,0,0,0,0,0,0
42,E,0.544520967127434,10-20k,0,0.973818375855515,0.7106561067858196,1.2715033418069088,0.028945699337986266,0.2513007889998072,0.4309909955018415,0,0,0
43,E,1,10-20k,0,0,0,0,0,0,0,0,0,0
44,E,0.8141429643432394,10-20k,0,0.019397664028910737,0.08419110147509382,0.7352374165062562,0,0,0.27747578673101575,0,0,0
45,E,0.6013596336614992,10-20k,0.08238196008776172,0.25684015404997546,1.072188669232871,0.2078069808736142,0.20736544263365783,0,1.007482564427038,0.3418478761343134,0,0
46,E,1,10-20k,0,0,0,0,0,0,0,0,0,0
47,E,0.40357772045449575,10-20k,1.3114971789186372,0.9743511494858728,0.9434756876486149,1.2951548534123407,0.4298800629762206,0,0.7348098106572398,0.23373540471549653,0,0
48,E,1,10-20k,0,0,0,0,0,0,0,0,0,0
49,E,0.2270206054820822,10-20k,1.4817553786967805,0.7090146045794775,1.8982716481078696,0.6613611729012245,0.10206558584435216,0,16.01531089428103,0.05242299309459602,0,0
50,E,0.5043215084150346,10-20k,0.7367494671810048,0.21677096565653103,1.1974201078744537,1.1080262608548193,0.1862333385112869,0,0.7587836027363968,0.025236079278470554,0,0
51,E,0.5453778409458083,10-20k,0.06648432501468546,0.8537665622395673,1.9444400624499505,0.22740678529427155,0.3570565521356474,0.14371663317944242,0.7595693660277787,0,0,0
52,E,1,20-50k,0,0,0,0,0,0,0,0,0,0
53,E,1,20-50k,0,0,0,0,0,0,0,0,0,0
54,E,1,20-50k,0,0,0,0,0,0,0,0,0,0
55,E,0.4790581415984706,20-50k,0.915941419853401,1.2449727940457118,14.684704569070757,0.44906097527982375,2.1777672886835733,2.428576678220751,0.5203099475275657,1.6998928988762991,0,0
56,E,0.37672589202537504,20-50k,1.2066680698077272,1.7391311355823715,15.754651692851452,0.04007583313060613,1.4217986523533046,0.33420798258313766,1.7773538064598602,2.094224152586449,0,0
57,E,1,20-50k,0,0,0,0,0,0,0,0,0,0
58,E,0.5432151972240373,20-50k,2.190077939301335,0.48762141934320247,1.1384829688441773,0.27629184138643337,0,0,0.7012642247022204,0.22694770685923024,0,0
59,E,0.7383925229185984,20-50k,0.2617563638816164,0.006718876112235278,0.033555322659542884,0.8068363230560558,0.15077737806663452,5.502127935422123,0.41073943313289557,0,0,0
60,E,0.7151448739208771,20-50k,0,1.5354760331735546,0.6857331515093164,0.84674926788104,16.24143653783931,18.552992811849446,0.20229961463746327,25.920716925578283,0,0
61,E,0.2536155662666105,20-50k,1.3272622838245665,4.2224912161991774,240.8159897742552,1.2661262727439861,2.9765440425360987,1.6570951892748385,3.3068188816392072,0,0,0
62,E,0.8888888888892585,20-50k,0,0,0,1.0000000000004773e-8,0,0,0,0,0,0
63,E,0.4296781188844492,20-50k,0.8519232798689372,2.86984488224797,4.168934079691197,4.6423070951389676,5.207444357556365,0.888999333928966,0.9336481954680567,0.3844105153791294,0,0
64,E,0.6048563781187031,20-50k,0.3616074086134981,0,0.14454916133834758,2.4305538931439563,2.243993233767692,0.6909409740683768,1.1433617407629966,0,0,0
65,E,0.6990778081110742,20-50k,0.19310291489282008,0.2573545453099058,0,1.4484850557941875,0.15346838545695332,0,0.7462462074841115,0.32113458026471375,0,0
66,E,0.999999999999457,20-50k,0,0,0,0,0,0,0,0,0,0
67,E,1,20-50k,0,0,0,0,0,0,0,0,0,0
68,E,0.4625660423170411,20-50k,1.5817654224055047,0.614477419526922,0.2823315184425107,0.6341259908221655,0.30572534503854687,1.0262018336279168,3.9865670024898217,1.0247592118556297,0,0
69,E,1,20-50k,0,0,0,0,0,0,0,0,0,0
70,E,0.5241147385570578,20-50k,0.9701343177754225,0.457343093748192,0.08599140495366371,2.9390657221170997,0.41305099589581706,0.2529791138576489,4.3986854325024956,0.3672056236679593,0,0
71,E,1,>50k,0,0,0,0,0,0,0,0,0,0
72,E,1,>50k,0,0,0,0,0,0,0,0,0,0
73,E,1,>50k,0,0,0,0,0,0,0,0,0,0
74,E,1,>50k,0,0,0,0,0,0,0,0,0,0
75,E,1,>50k,0,0,0,0,0,0,0,0,0,0
76,E,1,>50k,0,0,0,0,0,0,0,0,0,0
77,E,1,>50k,0,0,0,0,0,0,0,0,0,0
78,E,0.6450086424611222,>50k,12.931070101009391,1.5676600961782987,0,0.8869531000249891,0.9545038390329073,0,1.6351611984757042,19.033018281419785,0,0
79,E,0.8196121608699826,>50k,3.1208826936940106,0,3.271192521388596,0,0.45412178385645213,0,1.383051118920934,1.8079063899929209,0,0
80,E,0.9999999999992206,>50k,0,0,0,0,0,0,0,0,0,0
81,E,1,>50k,0,0,0,0,0,0,0,0,0,0
82,E,1,>50k,0,0,0,0,0,0,0,0,0,0
83,E,1,>50k,0,0,0,0,0,0,0,0,0,0
84,E,1,>50k,0,0,0,0,0,0,0,0,0,0
85,E,1,>50k,0,0,0,0,0,0,0,0,0,0
86,E,1,>50k,0,0,0,0,0,0,0,0,0,0
1,L,1,<5k,0,0,0,0,0,0,0,0,0,0
2,L,1,<5k,0,0,0,0,0,0,0,0,0,0
3,L,1,<5k,0,0,0,0,0,0,0,0,0,0
4,L,1,<5k,0,0,0,0,0,0,0,0,0,0
5,L,0.3555695273842635,<5k,0.25540669836507934,0.31009835956963694,0.8875392333367946,0.9378353376492637,0.5128611890226327,0.13888937645594465,0.30895988469950747,0.06858120958571759,0,0
6,L,1,<5k,0,0,0,0,0,0,0,0,0,0
7,L,0.5263180080690114,<5k,0.1185165639302679,0.20637632149987445,0.2756204016967161,0.2717853839040747,0.12607224869016714,0.058548434911073435,0.6520778284887235,0.013325660387701404,0,0
8,L,0.6941921305604468,<5k,0.21033048647175454,0.24270163882548923,0.3696941848066235,0,0.024006763374554103,0.18490785406786206,0,0.13655563703744192,0,0
9,L,0.9999999999992307,<5k,0,0,0,0,0,0,0,0,0,0
10,L,0.9999999999992304,<5k,0,0,0,0,0,0,0,0,0,0
11,L,1,<5k,0,0,0,0,0,0,0,0,0,0
12,L,1,<5k,0,0,0,0,0,0,0,0,0,0
13,L,0.34942447856648706,<5k,0.5899765557913356,0.4086907085704836,0.38037064091314676,0.006218151931193984,0.6405761077420108,0.18552165067874093,0,0.030105602936074814,0.0014555281928200028,0
14,L,0.538492300158446,<5k,0.1379432594718596,0.5102656937068942,0.053609793633634224,0.4556253695781055,0.4301983128174189,0.16667397190510808,0.24350584216304094,0,0.07947181273461708,0
15,L,1,<5k,0,0,0,0,0,0,0,0,0,0
16,L,1,5-10k,0,0,0,0,0,0,0,0,0,0
17,L,0.3724426188111983,5-10k,0.9404553863209689,0.32899257008629673,0.034814749789083,0.4020376946898214,0.16135744558067236,0.4461183814161684,0.30380316034023325,0,0.0016228978524497162,0.012142806175711604
18,L,1,5-10k,0,0,0,0,0,0,0,0,0,0
19,L,1,5-10k,0,0,0,0,0,0,0,0,0,0
20,L,1,5-10k,0,0,0,0,0,0,0,0,0,0
21,L,1,5-10k,0,0,0,0,0,0,0,0,0,0
22,L,1,5-10k,0,0,0,0,0,0,0,0,0,0
23,L,1,5-10k,0,0,0,0,0,0,0,0,0,0
24,L,0.5388631071567878,5-10k,0.48971806537376167,0.07528751763873558,0.055985771862816246,0.7591502268809746,0.5994937121100494,0.5643072577637662,0.4178405400503905,0,0,0
25,L,1,5-10k,0,0,0,0,0,0,0,0,0,0
26,L,1,5-10k,0,0,0,0,0,0,0,0,0,0
27,L,0.9999999999999566,5-10k,0,0,0,0,0,0,0,0,0,0
28,L,1,5-10k,0,0,0,0,0,0,0,0,0,0
29,L,0.8388142729658169,5-10k,0,0.4384420509851397,1.1910180159501234,0,0.010260231831486263,0.11343488299878729,0.11894127245317088,0.009007967393249173,0,0
30,L,0.9999999999995345,5-10k,0,0,0,0,0,0,0,0,0,0
31,L,0.999999999999535,5-10k,0,0,0,0,0,0,0,0,0,0
32,L,1,5-10k,0,0,0,0,0,0,0,0,0,0
33,L,1,10-20k,0,0,0,0,0,0,0,0,0,0
34,L,1,10-20k,0,0,0,0,0,0,0,0,0,0
35,L,1,10-20k,0,0,0,0,0,0,0,0,0,0
36,L,1,10-20k,0,0,0,0,0,0,0,0,0,0
37,L,1,10-20k,0,0,0,0,0,0,0,0,0,0
38,L,0.540923408899453,10-20k,0.23196163323797603,1.2619541716481513,0.6512268389371367,1.0630775066241889,0.6255115994964616,0.2080374457145803,0.30136488316527726,0,0,0
39,L,0.7807182787653728,10-20k,0,0.2917562101759668,0.6711723757461748,0,0.14343526526371195,0.17053921882273979,0.009664314179388185,0,0,0
40,L,0.9999999999772785,10-20k,0,1.4104339561690071e-11,0,0,0,1.3545272553891062e-10,1.2434492233660636e-10,0,0,0
41,L,1,10-20k,0,0,0,0,0,4.447554950771889e-12,0,0,0,0
42,L,0.6100766025032297,10-20k,0,1.0329970011291683,0.29028672609731115,0.7796225193676435,0.23001289894395102,0.7847931908135016,0.06482599052285618,0,0,0
43,L,1,10-20k,0,0,0,0,0,0,0,0,0,0
44,L,0.9383288570458421,10-20k,0,0.020129166081530647,0.09415560521105414,0.7316971867835925,0,0,0.27006907878727027,0,0,0
45,L,0.8200835136764777,10-20k,0.12631264863037817,0.2661915408963769,1.2874862996634684,0.12875334435580646,0.18122844442839825,0,0.9567480256274301,0.3459777458440396,0,0
46,L,1,10-20k,0,0,0,0,0,0,0,0,0,0
47,L,0.4817000874671522,10-20k,1.3736012019556696,1.1136802044711231,1.1091526799704596,1.5380469308300537,0.7973217814989003,0.3514565268662899,0,0,0,0
48,L,1,10-20k,0,0,0,0,0,0,0,0,0,0
49,L,0.46485076634105804,10-20k,1.2833449469863794,0.6558707647258456,1.5878839667247422,0.6484295845991843,0.6337452272366078,0.6482571342808637,16.034306761375753,0.0018977522770427671,0,0
50,L,0.6406339360597175,10-20k,0.998591123581266,0.4191454972528608,0.23716591245984597,1.3367237667281382,0.3385959041245675,0.1294394223424483,0.3614416267692739,0.04110208170639232,0,0
51,L,0.5970463338937364,10-20k,0.272839190431325,1.1194952912312,0.9710235960234541,0.09408939765308622,0.4879800884632968,0.5756504362918152,0.43843082830611957,0,0,0
52,L,1,20-50k,0,0,0,0,0,0,0,0,0,0
53,L,1,20-50k,0,0,0,0,0,0,0,0,0,0
54,L,1,20-50k,0,0,0,0,0,0,0,0,0,0
55,L,0.27410032746290264,20-50k,0.899972783515585,1.2556577402457962,14.905071286827683,0.8741396745825495,2.1354332907587716,2.439911733190132,0.08304611069604012,1.7235665581628388,0,0
56,L,0.3971939251896716,20-50k,1.1873107390932665,1.9315527742624692,15.432254987846509,0,1.3961923702946601,0.963104448904457,1.4156118225041294,2.0850186631743566,0,0
57,L,1,20-50k,0,0,0,0,0,0,0,0,0,0
58,L,0.5828272819569751,20-50k,2.337813674074607,0.7979693998197659,1.1352797467530402,0.3140830800415308,0.26309494537752925,0.5376623229607027,0.38284661932027114,0.008526624138086246,0,0
59,L,0.652812158233987,20-50k,0.6462374308130262,0.3016899053905443,0,0.7023336397080632,0.2788987402061762,5.785412684675828,0.21969187935096876,0,0,0
60,L,0.277519284842554,20-50k,0.3433666590884306,1.8261674018283727,0.6711543865148677,1.176267081821035,16.639002898447092,19.705905250344635,0,25.70755940717209,0,0
61,L,0.26066284832032616,20-50k,1.2780491541548047,4.571756915019218,239.8236980037226,1.0877648628945402,2.959476793601816,2.421930673362862,3.027280882898791,0,0,0
62,L,0.8888888888892585,20-50k,0,0,0,1.0000000000004771e-8,0,0,0,0,0,0
63,L,0.29813941946612427,20-50k,1.0233272664853639,2.7935320502516605,3.900942120730971,4.518235031975565,4.870962251988278,1.154608760381863,0.5511919943370704,0.5039361878484939,0,0
64,L,0.6317668926943945,20-50k,0.3146588404376427,0,0,2.3831987817087144,2.375726696816181,0.8005275864310688,0.9947335235883664,0,0,0
65,L,0.798703793083556,20-50k,0,0.4614000213028962,0,1.2450004019599656,0.3695327025096145,0.2792666200187755,0.4366723739153454,0.17294912102592427,0,0
66,L,0.999999999999457,20-50k,0,0,0,0,0,0,0,0,0,0
67,L,1,20-50k,0,0,0,0,0,0,0,0,0,0
68,L,0.6291555140944094,20-50k,1.5120751338237166,0.6013337400606864,0.21570353918571153,0.6281661600813506,0.41054126889640563,1.1286928648692212,3.967903183370948,1.0216393005650595,0,0
69,L,1,20-50k,0,0,0,0,0,0,0,0,0,0
70,L,0.7777375387936777,20-50k,0.9205647265272797,0.5159182286586896,0,2.94545218218495,0.5783766931814085,0.37389162299221607,4.487967526775691,0.3212982881276399,0,0
71,L,1,>50k,0,0,0,0,0,0,0,0,0,0
72,L,1,>50k,0,0,0,0,0,0,0,0,0,0
73,L,1,>50k,0,0,0,0,0,0,0,0,0,0
74,L,1,>50k,0,0,0,0,0,0,0,0,0,0
75,L,1,>50k,0,0,0,0,0,0,0,0,0,0
76,L,1,>50k,0,0,0,0,0,0,0,0,0,0
77,L,1,>50k,0,0,0,0,0,0,0,0,0,0
78,L,0.5495541792144167,>50k,13.492025299543524,2.499374990906625,0,0.48849677481716147,2.017327773162203,2.0346114498756065,1.1603742310483138,18.18000917551463,0,0
79,L,0.7912073775850142,>50k,2.084440802083612,1.791937299985285,0,0,3.0903828608888957,1.223038979262947,0,0.22884754710487112,0,0
80,L,1,>50k,0,0,0,0,0,0,0,0,0,0
81,L,1,>50k,0,0,0,0,0,0,0,0,0,0
82,L,1,>50k,0,0,0,0,0,0,0,0,0,0
83,L,1,>50k,0,0,0,0,0,0,0,0,0,0
84,L,1,>50k,0,0,0,0,0,0,0,0,0,0
85,L,1,>50k,0,0,0,0,0,0,0,0,0,0
86,L,1,>50k,0,0,0,0,0,0,0,0,0,0
1,G,1,<5k,0,0,0,0,0,0,0,0,0,0
2,G,1,<5k,0,0,0,0,0,0,0,0,0,0
3,G,1,<5k,0,0,0,0,0,0,0,0,0,0
4,G,1,<5k,0,0,0,0,0,0,0,0,0,0
5,G,0.5756341798947804,<5k,0.1714871487138394,0.2177044411879706,0.9413871653854495,0.9059834869423367,0.34908363167295603,0,0.20457948980355029,0.09182811954692775,0,0.02445285734434416
6,G,1,<5k,0,0,0,0,0,0,0,0,0,0
7,G,0.750198623820437,<5k,0.08695574187590505,0.1703377266441237,0.324203646565205,0.2841668366116229,0.06830506801604674,0,0.5967259286929557,0.025836872427302465,0,0.010900408270405003
8,G,0.734206462260477,<5k,0.1274113300175634,0.2666998598466899,0.6141061726225349,0,0,0,0,0.18026004632092546,0.030449976943809146,0
9,G,0.9999999999992307,<5k,0,0,0,0,0,0,0,0,0,0
10,G,0.9999999999992304,<5k,0,0,0,0,0,0,0,0,0,0
11,G,1,<5k,0,0,0,0,0,0,0,0,0,0
12,G,1,<5k,0,0,0,0,0,0,0,0,0,0
13,G,0.7322267980477077,<5k,0.41891589688521347,0.35777119283653314,0.46802503289584696,0.10005308915872692,0.5809699097784896,0,0,0.05708592952042935,0,0.0013442273639097445
14,G,0.6443691245148611,<5k,0.0981299825000042,0.2868764207663972,0.08147845052895156,0.3871065458520438,0.21003163500821873,0,0.13419324494382415,0,0.0013695289161811512,0.06447376030430349
15,G,1,<5k,0,0,0,0,0,0,0,0,0,0
16,G,1,5-10k,0,0,0,0,0,0,0,0,0,0
17,G,0.5923031382050795,5-10k,0.7777731355595006,0.24130904782088716,0.37099940757023103,0.5741771078600264,0,0.18783743034723255,0.1840773382326119,0.1179691281373619,0.09052691363136661,0
18,G,1,5-10k,0,0,0,0,0,0,0,0,0,0
19,G,1,5-10k,0,0,0,0,0,0,0,0,0,0
20,G,1,5-10k,0,0,0,0,0,0,0,0,0,0
21,G,1,5-10k,0,0,0,0,0,0,0,0,0,0
22,G,1,5-10k,0,0,0,0,0,0,0,0,0,0
23,G,1,5-10k,0,0,0,0,0,0,0,0,0,0
24,G,0.8233438180461076,5-10k,0.6946494712416986,0,0.10147506944263265,0.5520711987104551,0.306366206493183,0.43147699067732065,0.5180994332545261,0.04009458131958966,0,0
25,G,1,5-10k,0,0,0,0,0,0,0,0,0,0
26,G,1,5-10k,0,0,0,0,0,0,0,0,0,0
27,G,1,5-10k,0,0,0,0,0,0,0,0,0,0
28,G,1,5-10k,0,0,0,0,0,0,0,0,0,0
29,G,0.867993247927277,5-10k,0,0.4987511067318958,1.2398153309080486,0.009680484701643373,0,0,0.0817018669096285,0.016678481348955974,0,0
30,G,0.9999999999995344,5-10k,0,0,0,0,0,0,0,0,0,0
31,G,0.999999999999535,5-10k,0,0,0,0,0,0,0,0,0,0
32,G,1,5-10k,0,0,0,0,0,0,0,0,0,0
33,G,1,10-20k,0,0,0,0,0,0,0,0,0,0
34,G,1,10-20k,0,0,0,0,0,0,0,0,0,0
35,G,1,10-20k,0,0,0,0,0,0,0,0,0,0
36,G,1,10-20k,0,0,0,0,0,0,0,0,0,0
37,G,1,10-20k,0,0,0,0,0,0,0,0,0,0
38,G,0.6686213068876661,10-20k,0.31248666677150666,0.8812832425553232,0.6539232099596668,1.0871432726934218,0,0.07192268898037053,0.5520926627529502,0.2170281369276222,0,0
39,G,0.8519108339895726,10-20k,0.006770001735522717,0.41666699263121587,1.0125492463302148,0.023676312330245725,0,0.06541232023718549,0.11195152333001405,0,0,0
40,G,1,10-20k,0,0,0,0,0,0,0,0,0,0
41,G,1,10-20k,0,0,0,0,0,0,0,0,0,0
42,G,0.7538868100561703,10-20k,0,0.9445629745615657,0.7307156866972345,1.2856248584369978,0,0.22932567313240254,0.4230435753964903,0.01901442517693633,0,0
43,G,1,10-20k,0,0,0,0,0,0,0,0,0,0
44,G,0.9383288570457139,10-20k,0,0.020129166081632476,0.09415560521139191,0.7316971867843969,0,0,0.27006907878756575,0,0,0
45,G,0.8031630068682715,10-20k,0.12631264863033775,0.2661915408962734,1.2874862996631018,0.12875334435578514,0.18122844442832423,0,0.9567480256270431,0.34597774584398056,0,0
46,G,1,10-20k,0,0,0,0,0,0,0,0,0,0
47,G,0.6397343651500228,10-20k,1.322866136752521,0.7292432150118032,1.0059824038090104,1.6405942056176726,0,0,0.5275217433490758,0.40476585640749435,0,0
48,G,1,10-20k,0,0,0,0,0,0,0,0,0,0
49,G,0.6853440075810586,10-20k,1.3367240574024457,0.4362772016709576,1.859239824574975,0.7404121916729326,0,0,16.155985265608788,0.25269036822980767,0,0
50,G,0.7421161673812888,10-20k,0.8800159380571763,0.2757760691569487,1.4070341199702736,1.4786950031549175,0.020025968818824125,0,0.43139356364502274,0.04405199877715125,0,0
51,G,0.7664876770104643,10-20k,0,0.34707070646834826,2.179206263574721,0.4679031040866688,0,0,0.5203290590289423,0.3226492468296635,0,0
52,G,1,20-50k,0,0,0,0,0,0,0,0,0,0
53,G,1,20-50k,0,0,0,0,0,0,0,0,0,0
54,G,1,20-50k,0,0,0,0,0,0,0,0,0,0
55,G,0.536311968387597,20-50k,1.1447629573615388,1.2899490146742392,15.265051462756778,0.9100032631381852,1.7184921735634096,2.050087890753807,0.15858597181204456,1.7353359182975618,0,0
56,G,0.5511277688092473,20-50k,0.94302470511046,0.920344345490379,17.332417818170473,0.4993541621732626,0.6079684596925783,0,1.5639754739992784,2.531211912591445,0,0
57,G,1,20-50k,0,0,0,0,0,0,0,0,0,0
58,G,0.7374285474406147,20-50k,2.2565371436260406,0.2580866855718388,1.3229413906228382,0.5298536595987792,0,0.054823185286094825,0.41516091810950473,0.2856837248856569,0,0
59,G,0.8713675293798283,20-50k,0.5233802927857362,0,0,0.8577302965724996,0.345140372761745,5.645093048160886,0.33828190376624895,0.1406133024362474,0,0
60,G,0.5377305141671979,20-50k,0.2783125935702528,1.639320882864039,0.7407759355926232,1.3914893617027675,16.496543639384043,19.300111282912276,0,25.832091381624803,0,0
61,G,0.5702354462135505,20-50k,0.892487560690543,2.4923659903039974,242.61901821737146,2.05365402405287,1.9812310937552429,0.8629672828985878,3.1578188806168943,0.7943615548278634,0,0
62,G,0.8888888888892585,20-50k,0,0,0,1.0000000000004773e-8,0,0,0,0,0,0
63,G,0.6001663953010757,20-50k,0.8262031517664823,2.0031232201893268,7.067111456261699,5.25107840047553,3.3611476078028995,0,0.04827707947051546,0.8208970579370487,0,0
64,G,0.8008479389205497,20-50k,0.7843990877579147,0,0.6232304491696975,2.322422686373878,1.5491960434704906,0.09776818887948206,0.5345896425525116,0,0,0
65,G,0.8340974734037254,20-50k,0.4013529041981195,0.6301204315169414,0.03922717507749118,1.2423996861854845,0,0.1392300505923791,0.5391689278193785,0.16722077430856583,0,0
66,G,0.999999999999457,20-50k,0,0,0,0,0,0,0,0,0,0
67,G,1,20-50k,0,0,0,0,0,0,0,0,0,0
68,G,0.76305613245678106,20-50k,1.5434486508008534,0.6317429337247304,0.43370473800323345,0.6245619898468694,0,0.5272964826216788,3.8639456778307464,1.0879102520766544,0,0
69,G,1,20-50k,0,0,0,0,0,0,0,0,0,0
70,G,0.8101046878196615,20-50k,0.9701343177754223,0.4573430937481916,0.08599140495366343,2.9390657221170993,0.413050995895817,0.2529791138576488,4.398685432502496,0.3672056236679594,0,0
71,G,1,>50k,0,0,0,0,0,0,0,0,0,0
72,G,1,>50k,0,0,0,0,0,0,0,0,0,0
73,G,1,>50k,0,0,0,0,0,0,0,0,0,0
74,G,1,>50k,0,0,0,0,0,0,0,0,0,0
75,G,1,>50k,0,0,0,0,0,0,0,0,0,0
76,G,1,>50k,0,0,0,0,0,0,0,0,0,0
77,G,1,>50k,0,0,0,0,0,0,0,0,0,0
78,G,0.5904648844810715,>50k,12.953588166219147,1.7994917753101647,3.6648347248276147,1.1891357456175955,0,0,0.4692313117327397,18.659193715338734,0,0
79,G,0.8512019967196933,>50k,3.1208826936940106,0,3.2711925213885937,0,0.45412178385645213,0,1.3830511189209358,1.8079063899929215,0,0
80,G,1,>50k,0,0,0,0,0,0,0,0,0,0
81,G,1,>50k,0,0,0,0,0,0,0,0,0,0
82,G,1,>50k,0,0,0,0,0,0,0,0,0,0
83,G,1,>50k,0,0,0,0,0,0,0,0,0,0
84,G,1,>50k,0,0,0,0,0,0,0,0,0,0
85,G,1,>50k,0,0,0,0,0,0,0,0,0,0
86,G,1,>50k,0,0,0,0,0,0,0,0,0,0
1,A,1,<5k,0,0,0,0,0,0,0,0,0,0
2,A,1,<5k,0,0,0,0,0,0,0,0,0,0
3,A,1,<5k,0,0,0,0,0,0,0,0,0,0
4,A,1,<5k,0,0,0,0,0,0,0,0,0,0
5,A,0.4485541864358214,<5k,0.2554066983647122,0.3100983595693149,0.8875392333362835,0.9378353376486996,0.5128611890220695,0.13888937645551558,0.30895988469911895,0.0685812095856871,0,0
6,A,1,<5k,0,0,0,0,0,0,0,0,0,0
7,A,0.5765648729363934,<5k,0.11851656393026788,0.20637632149987442,0.27562040169671626,0.27178538390407464,0.12607224869016714,0.058548434911073415,0.6520778284887238,0.013325660387701442,0,0
8,A,0.756115948437184,<5k,0.21872440598917142,0.2065770780890429,0.4590272920855219,0,0,0.17471687558641416,0.01723417158979969,0.13600281469095948,0,0
9,A,0.9999999999992307,<5k,0,0,0,0,0,0,0,0,0,0
10,A,0.9999999999992304,<5k,0,0,0,0,0,0,0,0,0,0
11,A,1,<5k,0,0,0,0,0,0,0,0,0,0
12,A,1,<5k,0,0,0,0,0,0,0,0,0,0
13,A,0.5867605433298992,<5k,0.5899765557913348,0.4086907085704833,0.38037064091314754,0.006218151931194348,0.6405761077420108,0.18552165067874024,0,0.030105602936074886,0.0014555281928198534,0
14,A,0.5836365032129612,<5k,0.09812998250000415,0.2868764207663973,0.08147845052895163,0.38710654585204396,0.2100316350082187,0,0.13419324494382423,0,0.0013695289161811711,0.0644737603043034
15,A,1,<5k,0,0,0,0,0,0,0,0,0,0
